station_id,station_name,coordinates,capacity,latitude,longitude,distance_km,area_group
15111,Olivier de Serres - Leriche,"[48.83460221715206, 2.2957482933998112]",25,48.83460221715206,2.2957482933998112,4.800800350213351,Central (<=5 km)
23702,Hôtel de Ville de Chaville,"[48.80887149094033, 2.188134044408798]",20,48.80887149094033,2.188134044408798,13.129274179658658,Peripheral (>5 km)
35012,Candale - Mehul,"[48.8893935006175, 2.414379715919495]",25,48.8893935006175,2.414379715919495,5.829009042907543,Peripheral (>5 km)
33020,Waldeck Rochet - Germaine Tillon,"[48.91105960199651, 2.3676301538944244]",31,48.91105960199651,2.3676301538944244,6.1598410289649115,Peripheral (>5 km)
5003,Le Goff - Gay-Lussac,"[48.846102400979, 2.3412207886577]",35,48.846102400979,2.3412207886577,1.4169949307075644,Central (<=5 km)
3007,Archives - Pastourelle,"[48.8623615, 2.3595041]",28,48.8623615,2.3595041,0.8342361801724351,Central (<=5 km)
18112,Arthur Ranc - Hôpital Bichat,"[48.8978712500682, 2.333521842956543]",26,48.8978712500682,2.333521842956543,4.788121681664296,Central (<=5 km)
16201,Porte Dauphine,"[48.871139344351, 2.2749781616017]",65,48.871139344351,2.2749781616017,5.875548667874015,Peripheral (>5 km)
9019,Victor Massé - Jean-Baptiste Pigalle,"[48.8811043724, 2.3366955667734]",18,48.8811043724,2.3366955667734,2.951330594262122,Central (<=5 km)
19046,Porte de Pantin.,"[48.889199725577, 2.3950181901455]",33,48.889199725577,2.3950181901455,4.790281570009855,Central (<=5 km)
42210,Victor Hugo - Paul Eluard,"[48.819602554907, 2.4114319673051]",32,48.819602554907,2.4114319673051,5.976357848305304,Peripheral (>5 km)
21011,Silly - Louis Blériot,"[48.83219045374266, 2.2340199351310734]",23,48.83219045374266,2.2340199351310734,9.06411307782431,Peripheral (>5 km)
18016,Francoeur - Caulaincourt,"[48.8899944409612, 2.342529706656933]",34,48.8899944409612,2.342529706656933,3.780044436955197,Central (<=5 km)
20003,Pyrénées - Cours de Vincennes,"[48.847796779935, 2.4061721563339]",21,48.847796779935,2.4061721563339,4.0684766962738745,Central (<=5 km)
12102,Bercy - Traversiére,"[48.846192642574, 2.3703800886869]",30,48.846192642574,2.3703800886869,1.7631345142759418,Central (<=5 km)
14004,Port Royal - Hôpital Cochin,"[48.838608030238, 2.3406994164846]",23,48.838608030238,2.3406994164846,2.170402574969036,Central (<=5 km)
12022,Sahel - Général Michel Bizot,"[48.840872964793355, 2.4044444784522057]",47,48.840872964793355,2.4044444784522057,4.203823123408296,Central (<=5 km)
19014,Lorraine - Jean Jaurès,"[48.8863865, 2.3825772]",19,48.8863865,2.3825772,3.988257050020393,Central (<=5 km)
13055,M.- A. Lagroua Weill-Hallé -  F. Dolto,"[48.828595283857425, 2.380220606266108]",74,48.828595283857425,2.380220606266108,3.728500168291345,Central (<=5 km)
21027,Fief - République,"[48.83170888166024, 2.255771979689598]",25,48.83170888166024,2.255771979689598,7.579842996591796,Peripheral (>5 km)
15044,Dantzig - Lefebvre,"[48.83013921586756, 2.295934036374092]",33,48.83013921586756,2.295934036374092,5.060743204726839,Peripheral (>5 km)
8044,Alfred de Vigny - Place du Général Brocard,"[48.87836138361425, 2.305254448220567]",33,48.87836138361425,2.305254448220567,4.200738857019393,Central (<=5 km)
23106,Pavé des Gardes - Charles Vaillant,"[48.81168551728, 2.2111820107205]",20,48.81168551728,2.2111820107205,11.466330843873305,Peripheral (>5 km)
22602,Place Henri Dunant - Gare RER,"[48.788093281931, 2.2909234046643]",31,48.788093281931,2.2909234046643,8.840401490594386,Peripheral (>5 km)
21320,Président Roosevelt - Rouget de Lisle,"[48.83047518749, 2.2616135525345]",40,48.83047518749,2.2616135525345,7.237615877235447,Peripheral (>5 km)
9035,Gare Saint-Lazare - Place de Budapest,"[48.877753, 2.327339]",44,48.877753,2.327339,2.9730746836563657,Central (<=5 km)
35002,Jean Jaurès - Presles,"[48.907134414988, 2.3960057280531]",31,48.907134414988,2.3960057280531,6.468051540907359,Peripheral (>5 km)
17038,Grande Armée - Brunel,"[48.876116, 2.288124]",62,48.876116,2.288124,5.164909872906298,Peripheral (>5 km)
45503,Franklin Roosevelt - Kennedy,"[48.771834767798, 2.3593850463633]",20,48.771834767798,2.3593850463633,9.440135234643261,Peripheral (>5 km)
1003,Saint-Denis - Rivoli,"[48.859059340842, 2.3476943001151]",43,48.859059340842,2.3476943001151,0.428298622075883,Central (<=5 km)
13007,Le Brun - Gobelins,"[48.835092787824, 2.3534681351338]",48,48.835092787824,2.3534681351338,2.3932926020970644,Central (<=5 km)
92002,Théâtre des Amandiers - Palais des sports,"[48.892648526839, 2.2136941552162]",23,48.892648526839,2.2136941552162,10.893738376063869,Peripheral (>5 km)
8016,Square Louis XVI,"[48.87320440102894, 2.323658830743138]",29,48.87320440102894,2.323658830743138,2.7870312928821286,Central (<=5 km)
11023,Saint-Maur - Roquette,"[48.858688774063, 2.3835539945715]",46,48.858688774063,2.3835539945715,2.305546787044738,Central (<=5 km)
31022,Mairie de Montreuil,"[48.86131452758348, 2.440614402294159]",52,48.86131452758348,2.440614402294159,6.489323411684986,Peripheral (>5 km)
44006,Concorde - Stalingrad,"[48.7985844, 2.3821302]",35,48.7985844,2.3821302,6.812948429091808,Peripheral (>5 km)
15054,Lecourbe - Jean Maridor,"[48.83796366147599, 2.2877392172813416]",19,48.83796366147599,2.2877392172813416,5.151980672532255,Peripheral (>5 km)
18022,Marcadet - Barbès,"[48.890451120965, 2.3490573929687]",37,48.890451120965,2.3490573929687,3.7710833371818206,Central (<=5 km)
15109,Cevennes - Bergers,"[48.84240765130395, 2.281037718057633]",29,48.84240765130395,2.281037718057633,5.440879744234608,Peripheral (>5 km)
11026,Chemin Vert - Saint-Maur,"[48.86112461407359, 2.381299026310444]",45,48.86112461407359,2.381299026310444,2.1874401503798486,Central (<=5 km)
21701,Larmeroux - Baudelaire,"[48.816939911292, 2.2809894804846]",29,48.816939911292,2.2809894804846,6.827254095447704,Peripheral (>5 km)
15046,Parc Georges Brassens - Brancion,"[48.83227829269761, 2.3022570088505745]",29,48.83227829269761,2.3022570088505745,4.546547463559577,Central (<=5 km)
42302,Aristide Briand - Gare de Bagneux,"[48.79387269664978, 2.321148812770844]",22,48.79387269664978,2.321148812770844,7.336019306846513,Peripheral (>5 km)
19016,Hautpoul - Jean Jaurès,"[48.886393679436, 2.3865414544355]",32,48.886393679436,2.3865414544355,4.157389636903935,Central (<=5 km)
13002,Arago - Glacière,"[48.83486054775774, 2.3445770524322067]",27,48.83486054775774,2.3445770524322067,2.4808428305717163,Central (<=5 km)
31010,Stalingrad - Désiré Chevalier,"[48.85670169739857, 2.445072233676911]",42,48.85670169739857,2.445072233676911,6.79455715419247,Peripheral (>5 km)
12115,Porte de Vincennes,"[48.846454, 2.415514]",33,48.846454,2.415514,4.767934097511467,Central (<=5 km)
18204,Porte de la Chapelle - Boulevard Ney,"[48.900097357789, 2.3586005020149]",52,48.900097357789,2.3586005020149,4.8592803680807855,Central (<=5 km)
14034,Ouest - Château,"[48.83617286014242, 2.319392143923804]",41,48.83617286014242,2.319392143923804,3.3049493242775134,Central (<=5 km)
20036,Ménilmontant - Pelleport,"[48.870682633845, 2.3989596023316]",32,48.870682633845,2.3989596023316,3.761869362629962,Central (<=5 km)
21013,Pierre Grenier - Pont de Billancourt,"[48.8258020742942, 2.2487989068031315]",21,48.8258020742942,2.2487989068031315,8.306011954135077,Peripheral (>5 km)
21105,Morice - Général Leclerc,"[48.90245471981591, 2.3128929734230046]",25,48.90245471981591,2.3128929734230046,5.8532064523335,Peripheral (>5 km)
17124,Porte de Saint-Ouen - Henri Huchard,"[48.898708366365064, 2.3295360803604126]",26,48.898708366365064,2.3295360803604126,4.966922174596678,Central (<=5 km)
18049,Porte d'Aubervilliers,"[48.89859661942376, 2.3689722642302513]",55,48.89859661942376,2.3689722642302513,4.828204100704028,Central (<=5 km)
34010,Hôtel de Ville de Saint-Ouen,"[48.911380185786, 2.3340076807601]",48,48.911380185786,2.3340076807601,6.234835798486058,Peripheral (>5 km)
18008,Square Léon,"[48.88667396788626, 2.353205569088459]",33,48.88667396788626,2.353205569088459,3.344881292345719,Central (<=5 km)
